ID Pricing,Count of ID Pricing
TLA_BERCA_E7300031_NoA_NA_20160324false,1
TLA_BERCA_E7300039_NoA_NA_20160324false,1
TLA_BERCA_E7300046_NoA_NA_20160324false,1
TLA_BERCA_E7300047_NoA_NA_20101026false,1
TLA_BERCA_E7300050_NoA_NA_20160324false,1
TLA_BERCA_E7300053_NoA_NA_20160315false,1
TLA_BERCA_E7300057_NoA_NA_20160324false,1
TLA_BERCA_E7300060_NoA_NA_20160315false,1
TLA_BERCA_E7300062_NoA_NA_20160324false,1
TLA_BERCA_E7300068_NoA_NA_20170214false,1
TLA_BERCA_E7300069_NoA_NA_20160324false,1
TLA_BERCA_E7300170_NoA_NA_20160324false,1
TLA_BERCA_R1400160_PST_NA_20121203OM_OMfalse,1
TLA_DMT_E1200001_MLA_1042_20120404Base_OMfalse,1
TLA_DMT_E1200004_MLA_1042_20111020Base_OMfalse,1
TLA_DMT_E1200005_MLA_1042_20150612Base_OMfalse,1
TLA_DMT_E1200006_MLA_1042_20150727Base_OMfalse,1
TLA_DMT_E1200009_MLA_1042_20130625Base_OMfalse,1
TLA_DMT_E1200014_MLA_1042_20150304Base_OMfalse,1
TLA_DMT_E1200015_MLA_1042_20120319Base_OMfalse,1
TLA_DMT_E1200016_MLA_1042_20150903Base_OMfalse,1
TLA_DMT_E1200019_MLA_1042_20170119Base_OMfalse,1
TLA_DMT_E1200022_MLA_1042_20150409Base_OMfalse,1
TLA_DMT_E1200038_MLA_1042_20150902Base_OMfalse,1
TLA_DMT_E1200040_MLA_1042_20150902Base_OMfalse,1
TLA_DMT_E1200042_MLA_1042_20150429Base_OMfalse,1
TLA_DMT_E1200048_MLA_1042_20130705Base_OMfalse,1
TLA_DMT_E1200051_MLA_1042_20151223Base_OMfalse,1
TLA_DMT_E1200055_MLA_1042_20110513Base_OMfalse,1
TLA_DMT_E1200056_MLA_1042_20120404Base_OMfalse,1
TLA_DMT_E1200057_MLA_1042_20150409Base_OMfalse,1
TLA_DMT_E1200063_MLA_1042_20160328Base_OMfalse,1
TLA_DMT_E1200067_MLA_1042_20160815Base_OMfalse,1
TLA_DMT_E1200069_MLA_1042_20160512Base_OMfalse,1
TLA_DMT_E1200071_MLA_1042_20130502Base_OMfalse,1
TLA_DMT_E1200073_MLA_1042_20150409Base_OMfalse,1
TLA_DMT_E1200074_MLA_1042_20130516Base_OMfalse,1
TLA_DMT_E1200089_MLA_1042_20150507Base_OMfalse,1
TLA_DMT_E1200091_MLA_1042_20120213Base_OMfalse,1
TLA_DMT_E1200108_MLA_1042_20160224Base_OMfalse,1
TLA_DMT_E1200119_MLA_1042_20111024Base_OMfalse,1
TLA_DMT_E1200121_MLA_1042_20131116Base_OMfalse,1
TLA_DMT_E1200126_MLA_1042_20120207Base_OMfalse,1
TLA_DMT_E1200129_MLA_1042_20120227Base_OMfalse,1
TLA_DMT_E1200130_MLA_1042_20150902Base_OMfalse,1
TLA_DMT_E1200135_MLA_1042_20150609Base_OMfalse,1
TLA_DMT_E1200140_MLA_1042_20161019Base_OMfalse,1
TLA_DMT_E1200141_MLA_1042_20150603Base_OMfalse,1
TLA_DMT_E1200145_MLA_1042_20151015Base_OMfalse,1
TLA_DMT_E1200146_MLA_1042_20150603Base_OMfalse,1
TLA_DMT_E1200154_MLA_1042_20130705Base_OMfalse,1
TLA_DMT_E1200157_MLA_1042_20120207Base_OMfalse,1
TLA_DMT_E1200168_MLA_1042_20131108Base_OMfalse,1
TLA_DMT_E1200169_MLA_1042_20151223Base_OMfalse,1
TLA_DMT_E1200170_MLA_1042_20150707Base_OMfalse,1
TLA_DMT_E1200177_MLA_1042_20151223Base_OMfalse,1
TLA_DMT_E1200184_MLA_1042_20150409Base_OMfalse,1
TLA_DMT_E1200194_MLA_1042_20151223Base_OMfalse,1
TLA_DMT_E1200196_MLA_1042_20131011Base_OMfalse,1
TLA_DMT_E1200220_MLA_1042_20150522Base_OMfalse,1
TLA_DMT_E1200227_MLA_1042_20160816Base_OMfalse,1
TLA_DMT_E1200235_MLA_1042_20161108Base_OMfalse,1
TLA_DMT_E1200251_MLA_1042_20120611Base_OMfalse,1
TLA_DMT_E1200256_MLA_1042_20131011Base_OMfalse,1
TLA_DMT_E1200259_MLA_1042_20150429Base_OMfalse,1
TLA_DMT_E1200283_MLA_1042_20101204Base_OMfalse,1
TLA_DMT_E1200287_MLA_1042_20130424Base_OMfalse,1
TLA_DMT_E1200290_MLA_1042_20150908Base_OMfalse,1
TLA_DMT_E1200291_MLA_1042_20150904Base_OMfalse,1
TLA_DMT_E1200292_MLA_1042_20160829Base_OMfalse,1
TLA_DMT_E1200293_MLA_1042_20150505Base_OMfalse,1
TLA_DMT_E1200298_MLA_1042_20131018Base_OMfalse,1
TLA_DMT_E1200303_MLA_1042_20150429Base_OMfalse,1
TLA_DMT_E1200304_MLA_1042_20161223Base_OMfalse,1
TLA_DMT_E1200306_MLA_1042_20150909Base_OMfalse,1
TLA_DMT_E1200318_MLA_1042_20170119Base_OMfalse,1
TLA_DMT_E1200319_MLA_1042_20121002Base_OMfalse,1
TLA_DMT_E1200323_MLA_1042_20161108Base_OMfalse,1
TLA_DMT_E1200328_MLA_1042_20120503Base_OMfalse,1
TLA_DMT_E1200332_MLA_1042_20150911Base_OMfalse,1
